title;author;journal;year;source;pages;volume;document_type;doi;url;publisher;issn;status;
Mobile Edge Cloud: Opportunities and Challenges;Shah, S.C.;Proceedings - 2017 International Conference on Computational Science and Computational Intelligence, CSCI 2017;2018;Scopus;1572-1577;;conference;10.1109/CSCI.2017.348;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060646847&doi=10.1109%2fCSCI.2017.348&partnerID=40&md5=16882402103a0d45efa2ded30e10b62c;;;Duplicated;
A Multi-layered Distributed Cloud Network for Cyber-Physical Energy System;Yang, L. and Guan, X. and Wu, J. and Dai, S.;IEEE International Conference on Automation Science and Engineering;2018;Scopus;402-407;2018-August;conference;10.1109/COASE.2018.8560483;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059987953&doi=10.1109%2fCOASE.2018.8560483&partnerID=40&md5=c5fbb681e37ebcd0d74cc9d32dae6960;;;Duplicated;
Dynamic reconfiguration of service-oriented resources in cyber–physical production systems by a process-independent approach with multiple criteria and multiple resource management operations;Engelsberger, M. and Greiner, T.;Future Generation Computer Systems;2018;Scopus;424-441;88;article;10.1016/j.future.2018.06.002;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048770008&doi=10.1016%2fj.future.2018.06.002&partnerID=40&md5=8cf7cb39d3a57c44a3bca147e91fafba;;;Rejected;
Flexible Container Platform Architecture for Industrial Robot Control;Garcia, C.A. and Garcia, M.V. and Irisarri, E. and Perez, F. and Marcos, M. and Estevez, E.;IEEE International Conference on Emerging Technologies and Factory Automation, ETFA;2018;Scopus;1056-1059;2018-September;conference;10.1109/ETFA.2018.8502496;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057280342&doi=10.1109%2fETFA.2018.8502496&partnerID=40&md5=01e1d23e9fd8bbc114e15b44adee0d50;;;Accepted;
Model similarity evidence and interoperability affinity in cloud-ready Industry 4.0 technologies;Pedone, G. and Mezgár, I.;Computers in Industry;2018;Scopus;278-286;100;article;10.1016/j.compind.2018.05.003;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047381122&doi=10.1016%2fj.compind.2018.05.003&partnerID=40&md5=2a91bc53e5c1205fac1f5905a6536aab;;;Accepted;
A scalable distributed machine learning approach for attack detection in edge computing environments;Kozik, R. and Choraś, M. and Ficco, M. and Palmieri, F.;Journal of Parallel and Distributed Computing;2018;Scopus;18-26;119;article;10.1016/j.jpdc.2018.03.006;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045682233&doi=10.1016%2fj.jpdc.2018.03.006&partnerID=40&md5=5071e6ed2406720f471e3533d8792b67;;;Accepted;
Fog computing-based cyber-physical machine tool system;Zhou, Z. and Hu, J. and Liu, Q. and Lou, P. and Yan, J. and Li, W.;IEEE Access;2018;Scopus;44580-44590;6;article;10.1109/ACCESS.2018.2863258;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051033325&doi=10.1109%2fACCESS.2018.2863258&partnerID=40&md5=51cdfca60211d6211890cd491a2421d6;;;Accepted;
A fog computing based cyber-physical system for the automation of pipe-related tasks in the industry 4.0 shipyard;Fernández-Caramés, T.M. and Fraga-Lamas, P. and Suárez-Albela, M. and Díaz-Bouza, M.A.;Sensors (Switzerland);2018;Scopus;;18;article;10.3390/s18061961;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048718246&doi=10.3390%2fs18061961&partnerID=40&md5=94f848011a1b33632c712accbe197e48;;;Accepted;
Cyber-physical microservices: An IoT-based framework for manufacturing systems;Thramboulidis, K. and Vachtsevanou, D.C. and Solanos, A.;Proceedings - 2018 IEEE Industrial Cyber-Physical Systems, ICPS 2018;2018;Scopus;232-239;;conference;10.1109/ICPHYS.2018.8387665;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050167602&doi=10.1109%2fICPHYS.2018.8387665&partnerID=40&md5=9dc1ed3a1bfc16b7dbc4e9c52b66dea9;;;Accepted;
Data Processing in Cyber-Physical-Social Systems Through Edge Computing;Dautov, R. and Distefano, S. and Bruneo, D. and Longo, F. and Merlino, G. and Puliafito, A.;IEEE Access;2018;Scopus;29822-29835;6;article;10.1109/ACCESS.2018.2839915;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047619039&doi=10.1109%2fACCESS.2018.2839915&partnerID=40&md5=48b52a73084c2f6396c4ce1dd6a690f4;;;Duplicated;
Cyber physical systems role in manufacturing technologies;Al-Ali, A.R. and Gupta, R. and Nabulsi, A.A.;AIP Conference Proceedings;2018;Scopus;;1957;conference;10.1063/1.5034337;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046118545&doi=10.1063%2f1.5034337&partnerID=40&md5=5facb933e8af25dc8b4d08e02e6882d1;;;Rejected;
Integrated simulation testbed for security and resilience of CPS;Neema, H. and Potteiger, B. and Koutsoukos, X. and Karsai, G. and Volgyesi, P. and Sztipanovits, J.;Proceedings of the ACM Symposium on Applied Computing;2018;Scopus;368-374;;conference;10.1145/3167132.3167173;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050532585&doi=10.1145%2f3167132.3167173&partnerID=40&md5=a34b8e9e305c6c9843543c3629e26f97;;;Accepted;
Component Importance Analysis of Mobile Cloud Computing System in the Presence of Common-Cause Failures;Zheng, J. and Okamura, H. and Dohi, T.;IEEE Access;2018;Scopus;18630-18642;6;article;10.1109/ACCESS.2018.2822338;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044758688&doi=10.1109%2fACCESS.2018.2822338&partnerID=40&md5=2d04ca1dc49b815ead5a0ea5c72590a7;;;Accepted;
Industrial Big Data Analytics for Prediction of Remaining Useful Life Based on Deep Learning;Yan, H. and Wan, J. and Zhang, C. and Tang, S. and Hua, Q. and Wang, Z.;IEEE Access;2018;Scopus;17190-17197;6;article;10.1109/ACCESS.2018.2809681;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042686045&doi=10.1109%2fACCESS.2018.2809681&partnerID=40&md5=6c9d49eceadc4e262032acc8f62021c4;;;Rejected;
Job Allocation Mechanism for Battery Consumption Minimization of Cyber-Physical-Social Big Data Processing Based on Mobile Cloud Computing;Yi, G. and Kim, H.-W. and Park, J.H. and Jeong, Y.-S.;IEEE Access;2018;Scopus;21769-21777;6;article;10.1109/ACCESS.2018.2803730;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041497399&doi=10.1109%2fACCESS.2018.2803730&partnerID=40&md5=c091ec157740e97e2f4a02e6617bb642;;;Duplicated;
A secure and distributed message oriented middleware for smart building applications;Lilis, G. and Kayal, M.;Automation in Construction;2018;Scopus;163-175;86;article;10.1016/j.autcon.2017.10.030;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034089370&doi=10.1016%2fj.autcon.2017.10.030&partnerID=40&md5=acc4179c20345bcc3077263837d67b71;;;Accepted;
Software evolution for digital transformation;Zimmermann, A. and Schmidt, R. and Bogner, J. and Jugel, D. and Möhring, M.;ENASE 2018 - Proceedings of the 13th International Conference on Evaluation of Novel Approaches to Software Engineering;2018;Scopus;205-212;2018-March;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051929837&partnerID=40&md5=3b844d799367c07e7d46df63e5edba15;;;Rejected;
10th International Conference on System Analysis and Modeling, SAM 2018;;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2018;Scopus;;11150 LNCS;article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054842433&partnerID=40&md5=e83b93d3f7dd990f8d32e88a932c2bdb;;;Rejected;
Smart hybrid manufacturing control using cloud computing and the internet-of-things;Erasmus, J. and Grefen, P. and Vanderfeesten, I. and Traganos, K.;Machines;2018;Scopus;;6;article;10.3390/MACHINES6040062;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068509654&doi=10.3390%2fMACHINES6040062&partnerID=40&md5=1479246e36344ee96572b7ee3a833e18;;;Accepted;
A distributed cyber-security framework for heterogeneous environments;Bolla, R. and Comi, P.M. and Repetto, M.;CEUR Workshop Proceedings;2018;Scopus;;2058;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042405898&partnerID=40&md5=c637572fc7dbcca2d0c6f81df345fff6;;;Rejected;
14th IFIP WG 12.5 International Conference on Artificial Intelligence Applications and Innovations, AIAI 2018;;IFIP Advances in Information and Communication Technology;2018;Scopus;;520;article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067786534&partnerID=40&md5=38a71c9e1ab56806d1fbfacc88956b0d;;;Rejected;
Exploiting smart e-Health gateways at the edge of healthcare Internet-of-Things: A fog computing approach;Rahmani, A.M. and Gia, T.N. and Negash, B. and Anzanpour, A. and Azimi, I. and Jiang, M. and Liljeberg, P.;Future Generation Computer Systems;2018;Scopus;641-658;78;article;10.1016/j.future.2017.02.014;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012875280&doi=10.1016%2fj.future.2017.02.014&partnerID=40&md5=db88c41aaa12560ca3777c5d7a46a66b;;;Accepted;
Smart manufacturing based on cyber-physical systems and beyond;Yao, X. and Zhou, J. and Lin, Y. and Li, Y. and Yu, H. and Liu, Y.;Journal of Intelligent Manufacturing;2017;Scopus;1-13;;article;10.1007/s10845-017-1384-5;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039543349&doi=10.1007%2fs10845-017-1384-5&partnerID=40&md5=1e39b7582a45e3f1fa4246a3d6bacd2c;;;Accepted;
Software platforms for smart cities: Concepts, requirements, challenges, and a unified reference architecture;Santana, E.F.Z. and Chaves, A.P. and Gerosa, M.A. and Kon, F. and Milojicic, D.S.;ACM Computing Surveys;2017;Scopus;;50;article;10.1145/3124391;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040256528&doi=10.1145%2f3124391&partnerID=40&md5=89ceaa9552896f4114c9e713861cf189;;;Accepted;
Engineering problems in initial phase of cloud control system;Ma, L. and Xia, Y. and Ali, Y. and Zhan, Y.;Chinese Control Conference, CCC;2017;Scopus;7892-7896;;conference;10.23919/ChiCC.2017.8028603;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032182949&doi=10.23919%2fChiCC.2017.8028603&partnerID=40&md5=a23a2379c6750cb9e373bceedf188157;;;Duplicated;
Bigdata Driven Cloud Security: A Survey;Raja, K. and Hanifa, S.M.;IOP Conference Series: Materials Science and Engineering;2017;Scopus;;225;conference;10.1088/1757-899X/225/1/012184;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030309441&doi=10.1088%2f1757-899X%2f225%2f1%2f012184&partnerID=40&md5=266e55639507764af6ec4389eadae355;;;Rejected;
Proceedings - 2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises, WETICE 2017;;Proceedings - 2017 IEEE 26th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises, WETICE 2017;2017;Scopus;;;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034218829&partnerID=40&md5=cfd21732cdbba0ee7ee26f553335ae28;;;Rejected;
Proceedings - 4th IEEE International Conference on Cyber Security and Cloud Computing, CSCloud 2017 and 3rd IEEE International Conference of Scalable and Smart Cloud, SSC 2017;;Proceedings - 4th IEEE International Conference on Cyber Security and Cloud Computing, CSCloud 2017 and 3rd IEEE International Conference of Scalable and Smart Cloud, SSC 2017;2017;Scopus;;;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028641557&partnerID=40&md5=8db35b89c3c1e50aeb3497ce1324010f;;;Rejected;
BONSEYES: Platform for open development of systems of artificial intelligence;Llewellynn, T. and Milagro, M. and Deniz, O. and Fricker, S. and Storkey, A. and Pazos, N. and Velikic, G. and Leufgen, K. and Dahyot, R. and Koller, S. and Goumas, G. and Leitner, P. and Dasika, G. and Wang, L. and Tutschku, K.;ACM International Conference on Computing Frontiers 2017, CF 2017;2017;Scopus;299-304;;conference;10.1145/3075564.3076259;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020497834&doi=10.1145%2f3075564.3076259&partnerID=40&md5=ba1c871ef17675b90f49defbafbe53ae;;;Duplicated;
Cyber-physical manufacturing cloud: Architecture, virtualization, communication, and testbed;Liu, X.F. and Shahriar, M.R. and Al Sunny, S.M.N. and Leu, M.C. and Hu, L.;Journal of Manufacturing Systems;2017;Scopus;352-364;43;article;10.1016/j.jmsy.2017.04.004;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018178147&doi=10.1016%2fj.jmsy.2017.04.004&partnerID=40&md5=9ecd64b343dab48144c8d4448ff9d434;;;Duplicated;
MIST: Mobility-inspired software-defined fog system;Gebre-Amlak, H. and Lee, S. and Jabbari, A.M.A. and Chen, Y. and Choi, B.-Y. and Huang, C.-T. and Song, S.;2017 IEEE International Conference on Consumer Electronics, ICCE 2017;2017;Scopus;94-99;;conference;10.1109/ICCE.2017.7889243;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018278189&doi=10.1109%2fICCE.2017.7889243&partnerID=40&md5=4e67d102a025782e1a4b6719b8e4be80;;;Duplicated;
Evolutionary planning of virtualized cyber-physical compute and control clusters;Jablkowski, B. and Thomas Gabor, U. and Spinczyk, O.;Journal of Systems Architecture;2017;Scopus;17-27;73;article;10.1016/j.sysarc.2016.11.001;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006795668&doi=10.1016%2fj.sysarc.2016.11.001&partnerID=40&md5=309c1cd90c06f3d29ac1d3ed3fce3f6d;;;Accepted;
Role modeling of IoT services in industry domains;Tsoutsa, P. and Fitsilis, P. and Ragos, O.;ACM International Conference Proceeding Series;2017;Scopus;290-295;;conference;10.1145/3034950.3035002;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018562920&doi=10.1145%2f3034950.3035002&partnerID=40&md5=60a3ebda0e5f798149dd37a921a68b87;;;Rejected;
Self-organizing service structures for cyber-physical control models with applications in dynamic factory automation a fog/edge-based solution pattern towards service-oriented process automation;Engelsberger, M. and Greiner, T.;CLOSER 2017 - Proceedings of the 7th International Conference on Cloud Computing and Services Science;2017;Scopus;238-246;;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024376179&partnerID=40&md5=3e54d8797267d176b270ff605783ee3f;;;Duplicated;
A solution for processing supply chain events within ontology-based descriptions;Ferrer, B.R. and Mohammed, W.M. and Lastra, J.L.M.;IECON Proceedings (Industrial Electronics Conference);2016;Scopus;4877-4883;;conference;10.1109/IECON.2016.7793020;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010061468&doi=10.1109%2fIECON.2016.7793020&partnerID=40&md5=ac315613d93d5b84bbab3331ce24d534;;;Rejected;
Towards programmable fog nodes in smart factories;De Brito, M.S. and Steinke, R. and Willner, A. and Hoque, S.;Proceedings - IEEE 1st International Workshops on Foundations and Applications of Self-Systems, FAS-W 2016;2016;Scopus;236-241;;conference;10.1109/FAS-W.2016.57;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011062046&doi=10.1109%2fFAS-W.2016.57&partnerID=40&md5=a8dcf25c977c43976af1a81210fb81c2;;;Accepted;
Proceedings - IEEE 10th International Conference on Self-Adaptive and Self-Organizing Systems, SASO 2016;;Proceedings - IEEE 10th International Conference on Self-Adaptive and Self-Organizing Systems, SASO 2016;2016;Scopus;;;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010408084&partnerID=40&md5=f18b7760a5938c56ece9e4d042659151;;;Rejected;
An open distributed architecture for flexible hybrid assembly systems: a model-driven engineering approach;Thramboulidis, K.;International Journal of Advanced Manufacturing Technology;2016;Scopus;1449-1460;85;article;10.1007/s00170-015-8064-4;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946771754&doi=10.1007%2fs00170-015-8064-4&partnerID=40&md5=b685ca2e8270e10f27925939ba11a9e7;;;Accepted;
Micro Virtual Machines (MicroVMs) for Cloud-assisted Cyber-Physical Systems (CPS);Pradilla, J.V. and Palau, C.E.;Internet of Things: Principles and Paradigms;2016;Scopus;125-142;;book;10.1016/B978-0-12-805395-9.00007-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988862099&doi=10.1016%2fB978-0-12-805395-9.00007-1&partnerID=40&md5=d476226d3d89c9f1c85a109d2ff3629a;;;Rejected;
Introduction to Computer Networks and Cybersecurity;Wu, C.-H. and Irwin, J.D.;Introduction to Computer Networks and Cybersecurity;2016;Scopus;1-1323;;book;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018962814&partnerID=40&md5=727c56e8e92773b21a20b0492a092834;;;Duplicated;
PLCloud: Comprehensive power grid PLC security monitoring with zero safety disruption;Senyondo, H. and Sun, P. and Berthier, R. and Zonouz, S.;2015 IEEE International Conference on Smart Grid Communications, SmartGridComm 2015;2016;Scopus;809-816;;conference;10.1109/SmartGridComm.2015.7436401;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964988375&doi=10.1109%2fSmartGridComm.2015.7436401&partnerID=40&md5=7346f258fc1dfbbc77775ab4685071d8;;;Accepted;
Cyber-Physical Systems Testbed Based on Cloud Computing and Software Defined Network;Gao, H. and Peng, Y. and Jia, K. and Wen, Z. and Li, H.;Proceedings - 2015 International Conference on Intelligent Information Hiding and Multimedia Signal Processing, IIH-MSP 2015;2016;Scopus;337-340;;conference;10.1109/IIH-MSP.2015.50;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963801210&doi=10.1109%2fIIH-MSP.2015.50&partnerID=40&md5=1c116485e38e3f92895403644d6dccf5;;;Accepted;
Xaas Multi-Cloud marketplace architecture enacting the industry 4.0 concepts;Juan-Verdejo, A. and Surajbali, B.;IFIP Advances in Information and Communication Technology;2016;Scopus;11-123;470;article;10.1007/978-3-319-31165-4_2;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962050535&doi=10.1007%2f978-3-319-31165-4_2&partnerID=40&md5=3f5aad0f5c3ec14a8442233105c96db5;;;Accepted;
Fog-enabled architecture for data-driven cyber-manufacturing systems;Wu, D. and Terpenny, J. and Zhang, L. and Gao, R. and Kurfess, T.;ASME 2016 11th International Manufacturing Science and Engineering Conference, MSEC 2016;2016;Scopus;;2;conference;10.1115/MSEC2016-8559;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991702025&doi=10.1115%2fMSEC2016-8559&partnerID=40&md5=ef13bbed0aa0616a34b20c45007955a4;;;Rejected;
6th International Conference on E-Democracy, 2015;;Communications in Computer and Information Science;2015;Scopus;1-232;570;article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951938391&partnerID=40&md5=591b0280d29caf988fe95b021cc038bc;;;Rejected;
Conclusion;Liu, C.H. and Zhao, J.;Cyber Physical Systems: Architectures, Protocols and Applications;2015;Scopus;217-218;;book;10.1201/b19003;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053982083&doi=10.1201%2fb19003&partnerID=40&md5=d1059e7174aeb0c09c2df8c739513f18;;;Rejected;
Advanced manufacturing technology and new industrial revolution;Zhou, J. and Yao, X.;Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS;2015;Scopus;1963-1978;21;article;10.13196/j.cims.2015.08.001;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942311331&doi=10.13196%2fj.cims.2015.08.001&partnerID=40&md5=52e7197dd32e2aa3b9c85e381a5881f8;;;Rejected;
Developing interfaces based on services to the cloud manufacturing: Plug and produce;Moraes, E.C. and Lepikson, H.A. and Colombo, A.W.;Lecture Notes in Electrical Engineering;2015;Scopus;821-831;349;article;10.1007/978-3-662-47200-2_86;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946040065&doi=10.1007%2f978-3-662-47200-2_86&partnerID=40&md5=c62dff0d9429d34b5fd08066a7382aa8;;;Accepted;
Conference of Open Innovation Association, FRUCT;;Conference of Open Innovation Association, FRUCT;2015;Scopus;;2015-June;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937231236&partnerID=40&md5=1a8c448ce3eb7eb300af8825b962497f;;;Rejected;
Toward social internet of vehicles: Concept, architecture, and applications;Alam, K.M. and Saini, M. and El Saddik, A.;IEEE Access;2015;Scopus;343-357;3;article;10.1109/ACCESS.2015.2416657;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959852010&doi=10.1109%2fACCESS.2015.2416657&partnerID=40&md5=2b45c4f7acc626f2d489211550c7d368;;;Accepted;
Cyber physical systems: Architectures, protocols, and applications;Liu, C.H. and Zhang, Y.;Cyber Physical Systems: Architectures, Protocols and Applications;2015;Scopus;1-243;;book;10.1201/b19003;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053961261&doi=10.1201%2fb19003&partnerID=40&md5=cc68bf86939b3ea3f5442f3de64467aa;;;Rejected;
Organic streams a unified framework for personal big data integration and organization towards social sharing and individualized sustainable use;Zhou, X. and Jin, Q.;Big Data: Algorithms, Analytics, and Applications;2015;Scopus;241-255;;book;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013159050&partnerID=40&md5=0a21d435bba29c9dc71fd1855a9a9745;;;Rejected;
WaaS: Wisdom as a service;Chen, J. and Ma, J. and Zhong, N. and Yao, Y. and Liu, J. and Huang, R. and Li, W. and Huang, Z. and Gao, Y. and Cao, J.;IEEE Intelligent Systems;2014;Scopus;40-47;29;article;10.1109/MIS.2014.19;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919913820&doi=10.1109%2fMIS.2014.19&partnerID=40&md5=80aac018e14bb819c7acca807bffabc2;;;Accepted;
Internet of things applications: From research and innovation to market deployment;Vermesan, O. and Friess, P.;Internet of Things Applications: From Research and Innovation to Market Deployment;2014;Scopus;1-371;;book;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071892740&partnerID=40&md5=4221011e71133c5d1e9ee09f13de191c;;;Rejected;
Model-based platform design and evaluation of cloud-based cyber-physical systems (CCPS);Dell, J. and Greiner, T. and Rosenstiel, W.;Proceedings - 2014 12th IEEE International Conference on Industrial Informatics, INDIN 2014;2014;Scopus;376-381;;conference;10.1109/INDIN.2014.6945542;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914127113&doi=10.1109%2fINDIN.2014.6945542&partnerID=40&md5=6b18c9b96cbfe52617b954a5920bdb35;;;Rejected;
Vehicular cyber-physical systems with mobile cloud computing support;Yan, H. and Wan, J. and Wang, Y. and Wang, Z. and Song, Z.;Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST;2014;Scopus;27-35;133;article;10.1007/978-3-319-05506-0_3;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943225438&doi=10.1007%2f978-3-319-05506-0_3&partnerID=40&md5=3a41bcd8cf19f15e7b07aaabe0f81eba;;;Rejected;
Techniques and research trends of network testbed;Gao, H. and Peng, Y. and Dai, Z. and Li, H.;Proceedings - 2014 10th International Conference on Intelligent Information Hiding and Multimedia Signal Processing, IIH-MSP 2014;2014;Scopus;537-541;;conference;10.1109/IIH-MSP.2014.139;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921684497&doi=10.1109%2fIIH-MSP.2014.139&partnerID=40&md5=2539264fe0c2bd723789048d8dfc4815;;;Rejected;
Distributed and managed: Research challenges and opportunities of the next generation cyber-physical systems;Karsai, G. and Balasubramanian, D. and Dubey, A. and Otte, W.R.;Proceedings - IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing, ISORC 2014;2014;Scopus;1-8;;conference;10.1109/ISORC.2014.36;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941266845&doi=10.1109%2fISORC.2014.36&partnerID=40&md5=e14610765d669c3828967d8f4956e4ca;;;Accepted;
VCPS: Vehicular cyber-physical systems for smart road services;Jeong, J. and Lee, E.;Proceedings - 2014 IEEE 28th International Conference on Advanced Information Networking and Applications Workshops, IEEE WAINA 2014;2014;Scopus;133-138;;conference;10.1109/WAINA.2014.146;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904505459&doi=10.1109%2fWAINA.2014.146&partnerID=40&md5=a70345c358d26fe5a4f98c2f5aaa1b9f;;;Accepted;
5th Workshop on Medical Cyber-Physical Systems, MCPS 2014;;OpenAccess Series in Informatics;2014;Scopus;;36;conference;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905661928&partnerID=40&md5=f4f806c8bbd99420fe2db66901f44ddd;;;Rejected;
A distributed computing model for dataflow,controlflow, and workflow in fractionated cyber-physical systems;Stehr, M.-O. and Kim, M. and McCarthy, T.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2014;Scopus;379-393;8808;article;10.1007/978-3-319-13350-8_28;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916912239&doi=10.1007%2f978-3-319-13350-8_28&partnerID=40&md5=3e11ff337e988be095bc2308b0e78a7c;;;Rejected;
Wireless sensor networks in next generation communication infrastructure: Vision and challenges;Qaisar, S.B. and Ali, S. and Felemban, E.A.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2014;Scopus;790-803;8582 LNCS;article;10.1007/978-3-319-09147-1_58;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904895640&doi=10.1007%2f978-3-319-09147-1_58&partnerID=40&md5=26836c9e8bd93ef0ecc4feea5079e5be;;;Rejected;
5G networks: End-to-end architecture and infrastructure;Soldani, D. and Pentikousis, K. and Tafazolli, R. and Franceschini, D.;IEEE Communications Magazine;2014;Scopus;62-64;52;article;10.1109/MCOM.2014.6957144;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918794558&doi=10.1109%2fMCOM.2014.6957144&partnerID=40&md5=ce559761157d1c5bc9d910f198465ad6;;;Duplicated;
Model-Driven Software Design of Cloud-based Cyber-Physical Systems (CCPS) [Modellgestützter Entwurf Cloud-basierter Cyber-physischer Systeme (CCPS)];Dell, J. and Greiner, T. and Rosenstiel, W.;At-Automatisierungstechnik;2013;Scopus;677-689;61;article;10.1524/auto.2013.1039;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887030610&doi=10.1524%2fauto.2013.1039&partnerID=40&md5=7f2e73850b5959a7029c4002f859aefc;;;Rejected;
Physical attack protection with human-secure virtualization in data centers;Szefer, J. and Jamkhedkar, P. and Chen, Y.-Y. and Lee, R.B.;Proceedings of the International Conference on Dependable Systems and Networks;2012;Scopus;;;conference;10.1109/DSNW.2012.6264664;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880878159&doi=10.1109%2fDSNW.2012.6264664&partnerID=40&md5=eef695405a216784718e4502a4283fab;;;Accepted;
A secured health care application architecture for cyber-physical systems;Wang, J. and Abid, H. and Lee, S. and Shu, L. and Xia, F.;Control Engineering and Applied Informatics;2011;Scopus;101-108;13;article;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855303509&partnerID=40&md5=bf683bbc2690d45ed57bc3b80bf26b68;;;Accepted;
Energy efficiency based on quality of data for cyber physical systems;Phuong, L.T.T. and Hieu, N.T. and Wang, J. and Lee, S. and Lee, Y.-K.;Proceedings - 2011 IEEE International Conferences on Internet of Things and Cyber, Physical and Social Computing, iThings/CPSCom 2011;2011;Scopus;232-241;;conference;10.1109/iThings/CPSCom.2011.61;https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863288248&doi=10.1109%2fiThings%2fCPSCom.2011.61&partnerID=40&md5=94c1a9fc29b43a8bbb304fa4abf7920d;;;Accepted;
Development Concepts of Smart Service System-based Smart Factory (4SF);Lee, Heeje and Lee, Joongyoon;INCOSE International Symposium;2018;Wiley;1153-1169;28;article;10.1002/j.2334-5837.2018.00540.x;https://onlinelibrary.wiley.com/doi/abs/10.1002/j.2334-5837.2018.00540.x;;;Accepted;
